id_viewed;race_viewed;channel_viewed;unique_social_media_handles;province_viewed;gender_viewed;age_viewed;most_viewed_channel;duration_time
1;coloured;1;1;Western Cape;male;36;Supersport Live Events;2025-11-18T01:26:02.000Z
1;None;1;1;Gauteng;female;34;E! Entertainment;2025-11-18T01:26:00.000Z
1;black;1;1;Free State;male;46;Channel O;2025-11-18T01:25:36.000Z
1;indian_asian;1;1;Western Cape;male;19;ICC Cricket World Cup 2011;2025-11-18T01:25:30.000Z
1;indian_asian;1;1;Gauteng;male;28;ICC Cricket World Cup 2011;2025-11-18T01:25:26.000Z
1;indian_asian;1;1;Gauteng;male;28;ICC Cricket World Cup 2011;2025-11-18T01:24:50.000Z
1;black;1;1;Gauteng;male;28;Trace TV;2025-11-18T01:24:45.000Z
1;indian_asian;1;1;Eastern Cape;male;42;ICC Cricket World Cup 2011;2025-11-18T01:24:28.000Z
1;None;1;1;Eastern Cape;male;41;Channel O;2025-11-18T01:24:27.000Z
1;indian_asian;1;1;Gauteng;male;36;ICC Cricket World Cup 2011;2025-11-18T01:24:24.000Z
1;white;1;1;Gauteng;male;44;Supersport Live Events;2025-11-18T01:24:20.000Z
1;coloured;1;1;Western Cape;male;43;Supersport Live Events;2025-11-18T01:23:54.000Z
1;black;1;1;Mpumalanga;male;40;Channel O;2025-11-18T01:23:39.000Z
1;black;1;1;Gauteng;female;32;Supersport Live Events;2025-11-18T01:23:32.000Z
1;indian_asian;1;1;Gauteng;male;26;ICC Cricket World Cup 2011;2025-11-18T01:23:32.000Z
1;black;1;1;Mpumalanga;male;42;Cartoon Network;2025-11-18T01:23:31.000Z
1;coloured;1;1;Western Cape;female;33;ICC Cricket World Cup 2011;2025-11-18T01:23:20.000Z
1;indian_asian;1;1;Gauteng;female;23;SuperSport Blitz;2025-11-18T01:23:04.000Z
1;black;1;1;Free State;male;29;Channel O;2025-11-18T01:23:03.000Z
1;black;1;1;Northern Cape;female;25;Channel O;2025-11-18T01:22:48.000Z
1;indian_asian;1;1;Gauteng;male;26;ICC Cricket World Cup 2011;2025-11-18T01:22:02.000Z
1;coloured;1;1;Western Cape;male;43;ICC Cricket World Cup 2011;2025-11-18T01:21:50.000Z
1;black;1;1;Gauteng;male;27;Trace TV;2025-11-18T01:21:03.000Z
1;coloured;1;1;Kwazulu Natal;male;55;SuperSport Blitz;2025-11-18T01:20:54.000Z
1;white;1;1;Kwazulu Natal;female;50;Supersport Live Events;2025-11-18T01:20:38.000Z
1;black;1;1;North West;male;34;E! Entertainment;2025-11-18T01:20:30.000Z
1;coloured;1;1;Western Cape;male;43;Supersport Live Events;2025-11-18T01:19:52.000Z
